Bill Number,Title,Sponsors,Status,Current Location/Referral,Last Action Date
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=149&year=26"" target=""_blank"">SB 149</a>",PROPERTY TAX CODE DEFINITIONS,Jay C. Block; Harlan Vincent,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Judiciary Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=150&year=26"" target=""_blank"">SB 150</a>",LOCAL NEWS PRINTER TAX CREDIT,Peter Wirth,STBTC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=151&year=26"" target=""_blank"">SB 151</a>",CORPORATE INCOME TAX CHANGES,Peter Wirth; Cristina Parajón; Heather Berghmans; Natalie Figueroa,SFC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,Scheduled for Senate Calendar                                                                                                                                                                                                                                                 on 2/15/2026,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=152&year=26"" target=""_blank"">SB 152</a>",LOW-INCOME TELECOMM. ASSISTANCE PROGRAM,Michael Padilla; Pamelya Herndon; Debra M. Sariñana,Sent to HAFC - Referrals: HAFC,House Appropriations & Finance Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=153&year=26"" target=""_blank"">SB 153</a>",PROCUREMENT CHANGES,Michael Padilla,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Judiciary Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=154&year=26"" target=""_blank"">SB 154</a>",INSURANCE COVERAGE FOR WILDFIRE & FLOODS,Katy M. Duhigg; Christine Chandler; Anita Gonzales,SCONC: Reported by committee with Do Pass recommendation,"Senate Tax, Business and Transportation Committee",02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=155&year=26"" target=""_blank"">SB 155</a>",USE OF CERTAIN PROPER NAMES BY STATE,Craig W. Brandt,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=156&year=26"" target=""_blank"">SB 156</a>",SOCIAL SECURITY INCOME TAX CAP,Pete Campos,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=157&year=26"" target=""_blank"">SB 157</a>",USE OF PORTABLE SOLAR GENERATION DEVICES,Harold Pope; Jeff Steinborn,Sent to SCC - Referrals: SCC/SJC/STBTC,Senate Committees Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=158&year=26"" target=""_blank"">SB 158</a>",PED MICRO-CREDENTIALING PILOT PROJECT,Harold Pope,Sent to SCC - Referrals: SCC/SEC/SFC,Senate Committees Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=159&year=26"" target=""_blank"">SB 159</a>",GRADUATE MEDICAL EDUCATION ENTITY COSTS,Jeff Steinborn; Rex Wilson; Pat Woods,Sent to SCC - Referrals: SCC/SEC/SFC,Senate Committees Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=160&year=26"" target=""_blank"">SB 160</a>",INCREASE ALTERATION OF FIREARM CRIME SENTENCE,Antonio Maestas,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Judiciary Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=161&year=26"" target=""_blank"">SB 161</a>",WILDFIRE MITIGATION & LIABILITY ACT,Pat Woods; Meredith A. Dixon,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Judiciary Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=162&year=26"" target=""_blank"">SB 162</a>",NONPROFIT AGREEMENTS WITH DEPT. OF DEFENSE,Pat Woods,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=163&year=26"" target=""_blank"">SB 163</a>",RENAME GEOTHERMAL TAX CREDITS,Anthony L. Thornton; Patricia Roybal Caballero; Mark B. Murphy,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=164&year=26"" target=""_blank"">SB 164</a>",TRANSFER AMBULANCE STANDARDS TO DOH,Pat Woods,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Judiciary Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=165&year=26"" target=""_blank"">SB 165</a>",DELINQUENCY ACT CHANGES,Linda M. Trujillo; Crystal Brantley,SJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,Senate Finance Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=166&year=26"" target=""_blank"">SB 166</a>",TRANSFER FROM GENERAL FUND TO OTHER FUNDS,Mimi Stewart,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=167&year=26"" target=""_blank"">SB 167</a>",CRIME OF DEADLY WEAPON ON SCHOOL PREMISES,Antonio Maestas,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Judiciary Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=168&year=26"" target=""_blank"">SB 168</a>",ESTANCIA WIND TURBINE BLADE RECYCLING,"Elizabeth ""Liz"" Stefanics; Anthony L. Thornton; Anita Gonzales; Stefani Lord",SCONC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=169&year=26"" target=""_blank"">SB 169</a>",COST-OF-LIVING FOR SOME RETIREES,"Elizabeth ""Liz"" Stefanics; Linda M. Trujillo; Michael Padilla; Joy Garratt; Alan T. Martinez",Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=170&year=26"" target=""_blank"">SB 170</a>",CHILD CARE FACILITY DONATION TAX CREDIT,Heather Berghmans,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=171&year=26"" target=""_blank"">SB 171</a>",NORTHERN NM STATE SCHOOL DOCUMENTARY,"Roberto ""Bobby"" J. Gonzales; Cynthia Borrego; E. Diane Torres-Velásquez",SCC: Reported by committee to fall within the purview of a 30 day session,Senate Education Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=172&year=26"" target=""_blank"">SB 172</a>",TECHNOLOGY READINESS GRT CREDIT,"Roberto ""Bobby"" J. Gonzales; Michael Padilla; Leo Jaramillo",STBTC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,Senate Finance Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=173&year=26"" target=""_blank"">SB 173</a>",EXPAND MEDICAL MALPRACTICE INSURANCE TYPES,Rex Wilson,Sent to SCC - Referrals: SCC/STBTC/SJC,Senate Committees Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=174&year=26"" target=""_blank"">SB 174</a>",GOLD & SILVER SALE GRT DEDUCTION,Candy Spence Ezzell,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=175&year=26"" target=""_blank"">SB 175</a>",MEDICAL MALPRACTICE PUNITIVE DAMAGES,Craig W. Brandt; Nicole Tobiassen; Rex Wilson,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=176&year=26"" target=""_blank"">SB 176</a>",LIMIT SPACEPORT FEES,George K. Muñoz,Sent to SCC - Referrals: SCC/STBTC/SFC,Senate Committees Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=177&year=26"" target=""_blank"">SB 177</a>",GENERAL FUND TRANSFERS TO OTHER FUNDS,George K. Muñoz; Meredith A. Dixon,STBTC: Reported by committee with Do Pass recommendation with amendment(s),Senate Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=178&year=26"" target=""_blank"">SB 178</a>",SCHOOL FINANCE CHANGES,George K. Muñoz,SCC: Reported by committee to fall within the purview of a 30 day session,Scheduled for Senate Education Committee                                                                                                                                                                                                                                      on 2/16/2026,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=179&year=26"" target=""_blank"">SB 179</a>",UNM MEDICAL SPANISH EDUCATION PROGRAM,Linda M. López; Antoinette Sedillo Lopez; Rex Wilson,SEC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=180&year=26"" target=""_blank"">SB 180</a>",DETENTION CENTER STRIP SEARCHES,Linda M. López; Shannon D. Pinto; Antoinette Sedillo Lopez; Angel M. Charley,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=181&year=26"" target=""_blank"">SB 181</a>",SUPPORT & TRAINING FOR VARIOUS ALERTS,Angel M. Charley; Michelle Paulene Abeyta; Cindy Nava; Charlotte Little,STBTC: Reported by committee with Do Pass recommendation with amendment(s),Senate Finance Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=182&year=26"" target=""_blank"">SB 182</a>",DYED DIESEL GRT DEDUCTION,Joshua A. Sanchez; Crystal Brantley; Pat Woods,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=183&year=26"" target=""_blank"">SB 183</a>",STUDY CREATING REGIONAL URGENT CARE,"Elizabeth ""Liz"" Stefanics; Anthony L. Thornton; Anita Gonzales; Stefani Lord",SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=184&year=26"" target=""_blank"">SB 184</a>",CHILDREN'S BEHAVIORAL HEALTH DIVISION,Linda M. López; Shannon D. Pinto; Antoinette Sedillo Lopez; Angel M. Charley; Harold Pope,Sent to SCC - Referrals: SCC/SRC/SHPAC,Senate Committees Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=185&year=26"" target=""_blank"">SB 185</a>",INCREASE GASOLINE TAX,William P. Soules,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=186&year=26"" target=""_blank"">SB 186</a>",NO USE OF SNAP FOR SOFT DRINKS & CANDY,Pat Woods; Rex Wilson; Jay C. Block,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=187&year=26"" target=""_blank"">SB 187</a>",NMFA WATER PROJECT FUND,Pete Campos,SCONC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=188&year=26"" target=""_blank"">SB 188</a>",PAID PARENTAL LEAVE FOR SCHOOL EMPLOYEES,Mimi Stewart,Sent to SCC - Referrals: SCC/SEC/SFC,Senate Committees Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=189&year=26"" target=""_blank"">SB 189</a>",REPRODUCTIVE HEALTH CARE COVERAGE,"Heather Berghmans; Carrie Hamblen; Mimi Stewart; Elizabeth ""Liz"" Stefanics",STBTC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,Scheduled for Senate Finance Committee                                                                                                                                                                                                                                        on 2/15/2026,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=190&year=26"" target=""_blank"">SB 190</a>",GILA REGIONAL CANCER CENTER BONDS,Gabriel Ramos; Crystal Brantley; Luis M. Terrazas,STBTC: Reported by committee with Do Pass recommendation with amendment(s),Senate Finance Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=191&year=26"" target=""_blank"">SB 191</a>",SEIZURE SAFE SCHOOLS ACT,Harold Pope,Sent to SCC - Referrals: SCC/SEC/SJC,Senate Committees Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=192&year=26"" target=""_blank"">SB 192</a>",DATA BROKER PRIVACY ACT,Joseph Cervantes,Sent to SCC - Referrals: SCC/SJC/SFC,Senate Committees Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=193&year=26"" target=""_blank"">SB 193</a>",ACEQUIA & DITCH INFRASTRUCTURE FUND TRANSFER,Pete Campos; Leo Jaramillo; Anita Gonzales,HAAWC: Reported by committee with Do Pass recommendation,House Calendar,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=194&year=26"" target=""_blank"">SB 194</a>",LUNA COLLEGE BASEBALL FIELD,Pete Campos,SEC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=195&year=26"" target=""_blank"">SB 195</a>",SOIL & WATER DISTRICT TRAINING & OUTREACH,Pete Campos,SCONC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/07/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=196&year=26"" target=""_blank"">SB 196</a>",LAS VEGAS ANIMAL CARE CENTER PROGRAMS,Pete Campos,SCONC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/07/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=197&year=26"" target=""_blank"">SB 197</a>",RATON ANIMAL SHELTER SERVICES,Pete Campos,SCONC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/07/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=198&year=26"" target=""_blank"">SB 198</a>",LAS VEGAS ENDANGERED SPECIES HATCHERY,Pete Campos,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Conservation Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=199&year=26"" target=""_blank"">SB 199</a>",FUND DISBURSEMENTS FOR EDUCATIONAL RADIO,Pete Campos,Sent to SCC - Referrals: SCC/SEC/SFC,Senate Committees Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=200&year=26"" target=""_blank"">SB 200</a>",KANW EDUCATIONAL RADIO STATION,Pete Campos,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Education Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=201&year=26"" target=""_blank"">SB 201</a>",RURAL LIBRARIES,Pete Campos,SIRC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=202&year=26"" target=""_blank"">*SB 202</a>",PHYSICIAN GRADUATE ED. TRUST FUND,Pete Campos,Sent to SCC - Referrals: SCC/SEC/SFC,Senate Committees Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=203&year=26"" target=""_blank"">SB 203</a>",NORTHERN NM STATE SCHOOL DOCUMENTARY,Pete Campos,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Education Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=204&year=26"" target=""_blank"">SB 204</a>",FUNDING FOR TERMINATED RESEARCH PROJECTS,William P. Soules,SEC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=205&year=26"" target=""_blank"">SB 205</a>",TOXICOLOGY REIMBURSEMENT REQUIREMENTS,Leo Jaramillo,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=206&year=26"" target=""_blank"">SB 206</a>",RELINQUISHMENT OF INFANTS AT SAFE HAVEN BOXES,David M. Gallegos; Rex Wilson; William E. Sharer; Gabriel Ramos; Jay C. Block,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=207&year=26"" target=""_blank"">SB 207</a>",FLASHING RED LIGHTS ON RECOVERY & REPAIR CARS,Pete Campos,Sent to SCC - Referrals: SCC/SHPAC/STBTC,Senate Committees Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=208&year=26"" target=""_blank"">SB 208</a>",WELCOME CHILD ACT & FUND,Pete Campos,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=209&year=26"" target=""_blank"">SB 209</a>",FINANCIAL ASSURANCE FOR RENEWABLE ENERGY,Gabriel Ramos; Leo Jaramillo; Anthony L. Thornton; Luis M. Terrazas,Sent to SCC - Referrals: SCC/SCONC/SFC,Senate Committees Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=210&year=26"" target=""_blank"">SB 210</a>",NM HIGHLANDS SPORTS FIELDS,Pete Campos,SEC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=211&year=26"" target=""_blank"">SB 211</a>",LAS VEGAS RODRIGUEZ PARK,Pete Campos,SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=212&year=26"" target=""_blank"">SB 212</a>",SKI AREA EQUIPMENT SALE GROSS RECEIPTS,Carrie Hamblen,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=213&year=26"" target=""_blank"">SB 213</a>","INDEX GAS, WEIGHT & SPECIAL FUELS TAXES",George K. Muñoz,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=214&year=26"" target=""_blank"">SB 214</a>",PENALTY FOR CERTAIN MISDEMEANORS,George K. Muñoz,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=215&year=26"" target=""_blank"">*SB 215</a>",LOANED PROGRAM MONEY IN DISASTER FUND,George K. Muñoz,Sent to SCC - Referrals: SCC/SCONC/SFC,Senate Committees Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=216&year=26"" target=""_blank"">SB 216</a>",CERTIFICATE FOR NATIVE AMERICAN LANGUAGES,Shannon D. Pinto,SIRC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=217&year=26"" target=""_blank"">SB 217</a>",LIQUOR TAX CHANGES,Antoinette Sedillo Lopez; Shannon D. Pinto; Joanne J. Ferrary; Cristina Parajón,Sent to SCC - Referrals: SCC/STBTC/SFC,Senate Committees Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=218&year=26"" target=""_blank"">SB 218</a>",LOS ALAMOS EMERGENCY OPERATIONS CENTER,"Roberto ""Bobby"" J. Gonzales",SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/07/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=219&year=26"" target=""_blank"">*SB 219</a>",NATIVE AMERICAN OMBUD ACT,Shannon D. Pinto,Sent to SCC - Referrals: SCC/SIRC/SFC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=220&year=26"" target=""_blank"">SB 220</a>",PERSONAL CARE SERVICE MEDICAID REIMBURSEMENT,Shannon D. Pinto; Rebecca Dow,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=221&year=26"" target=""_blank"">SB 221</a>",CRIME OF MISAPPROPRIATION OF OIL & GAS EQUIP.,James G. Townsend; Antonio Maestas,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Judiciary Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=222&year=26"" target=""_blank"">SB 222</a>",PHYSICIAN RESIDENCY PROGRAMS,William P. Soules,SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=223&year=26"" target=""_blank"">SB 223</a>",SURVEILLANCE-BASED PRICE DISCRIMINATION ACT,Heather Berghmans,Sent to SCC - Referrals: SCC/STBTC/SJC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=224&year=26"" target=""_blank"">SB 224</a>",INSURANCE FAIR PLAN ACT CHANGES,Gabriel Ramos; Jenifer Jones; Luis M. Terrazas,Sent to SCC - Referrals: SCC/SIRC/STBTC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=225&year=26"" target=""_blank"">SB 225</a>",TRIBAL LIAISON PROGRAM,Shannon D. Pinto,SIRC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=226&year=26"" target=""_blank"">SB 226</a>",URANIUM MINE CLEANUP,Shannon D. Pinto,SIRC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=227&year=26"" target=""_blank"">SB 227</a>",CRUELTY TO ANIMALS REGISTRY,Gabriel Ramos; Luis M. Terrazas; Jenifer Jones,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=228&year=26"" target=""_blank"">SB 228</a>",GENERAL APPROPRIATION ACT OF 2026,George K. Muñoz,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Finance Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=229&year=26"" target=""_blank"">SB 229</a>",ALLOW AURICULAR ACUPUNCTURE,Nicole Tobiassen,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=230&year=26"" target=""_blank"">SB 230</a>",NM HISTORIC WOMEN MARKER PROGRAM,Nicole Tobiassen; Angel M. Charley; Candy Spence Ezzell,SCC: Reported by committee to fall within the purview of a 30 day session,"Scheduled for Senate Indian, Rural and Cultural Affairs Committee                                                                                                                                                                                                             on 2/17/2026",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=231&year=26"" target=""_blank"">SB 231</a>",STUDY COMMUNITY-BASED FOSTER CARE,Nicole Tobiassen,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=232&year=26"" target=""_blank"">SB 232</a>",DETERMINE COMPETENCY OF A CHILD,Crystal Brantley,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=233&year=26"" target=""_blank"">SB 233</a>",HIGH-IMPACT TUTORING FOR SOME STUDENTS,Steve D. Lanier,Sent to SCC - Referrals: SCC/SEC/SFC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=234&year=26"" target=""_blank"">SB 234</a>",FOSTER CHILD SCHOOL TRANSPORTATION,Nicole Tobiassen; Linda M. Trujillo; Candy Spence Ezzell,SEC: Reported by committee with Do Pass recommendation with amendment(s),Senate Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=235&year=26"" target=""_blank"">SB 235</a>",MICROGRID OVERSIGHT ACT,Jeff Steinborn; Antoinette Sedillo Lopez; Joanne J. Ferrary; Patricia Roybal Caballero,Passed in the Senate - Y:22 N:20,House Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=236&year=26"" target=""_blank"">SB 236</a>",CYFD ABUSE & NEGLECT CASE TORT CLAIMS,Nicole Tobiassen; Crystal Brantley,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=237&year=26"" target=""_blank"">SB 237</a>",CYFD CRITICAL INCIDENT INVESTIGATION TEAM,Crystal Brantley,Sent to SCC - Referrals: SCC/SRC/SFC,Senate Committees Committee,02/03/2026
